lat,lng,water_vapour
19.97778,97.57872,-9999
19.976463,97.572655,-9999
20.065332,97.55637,-9999
20.064024,97.54724,-9999
20.15328,97.53636,-9999
20.152176,97.53077,-9999
20.241957,97.526115,-9999
20.24093,97.51733,-9999
20.330725,97.51272,-9999
20.329357,97.50788,-9999
20.418913,97.500114,-9999
20.417658,97.49345,-9999
20.507019,97.48343,-9999
20.50603,97.47845,-9999
20.594997,97.46398,-9999
20.593796,97.458,-9999
20.68365,97.45436,-9999
20.682858,97.45,-9999
20.772549,97.44392,-9999
20.77134,97.435814,-9999
20.860807,97.42709,-9999
20.85958,97.42216,-9999
20.949013,97.41301,-9999
20.947872,97.40569,-9999
21.037102,97.39433,-9999
21.036055,97.39008,-9999
21.12565,97.38321,-9999
21.12461,97.37753,-9999
21.214233,97.37081,-9999
21.213055,97.36591,-9999
21.302944,97.36215,-9999
21.301737,97.355896,-9999
21.391724,97.352905,-9999
21.390585,97.348,-9999
21.480122,97.33906,-9999
21.479,97.33241,-9999
21.568434,97.32234,-9999
21.567055,97.31825,-9999
21.656746,97.31134,-9999
21.65559,97.30453,-9999
21.745125,97.29565,-9999
21.743877,97.29018,-9999
21.833462,97.281975,-9999
21.832249,97.27467,-9999
21.921772,97.26585,-9999
21.92056,97.26111,-9999
22.010492,97.25725,-9999
22.009407,97.25059,-9999
22.099155,97.24415,-9999
22.09767,97.23898,-9999
22.187504,97.2334,-9999
22.18637,97.22668,-9999
22.27534,97.21024,-9999
22.274107,97.205864,-9999
22.363863,97.19987,-9999
22.36281,97.19332,-9999
22.452822,97.19032,-9999
22.451344,97.18534,-9999
22.541029,97.17775,-9999
22.539732,97.169464,-9999
22.628614,97.152016,-9999
22.627337,97.147705,-9999
22.716318,97.13231,-9999
22.715385,97.126045,-9999
22.805128,97.12092,-9999
22.803827,97.11637,-9999
22.893366,97.10831,-9999
22.892504,97.1031,-9999
22.981277,97.08528,-9999
22.980112,97.08152,-9999
23.070253,97.081856,-9999
23.069132,97.07611,-9999
23.158314,97.06338,-9999
23.15728,97.05899,-9999
23.247314,97.0575,-9999
23.246124,97.05084,-9999
23.335342,97.038315,-9999
23.334232,97.033936,-9999
23.425394,97.04677,-9999
11.479125,98.83603,-9999
11.567269,98.82583,-9999
11.567416,98.81858,-9999
11.655651,98.80926,-9999
11.655565,98.80427,-9999
11.743754,98.79442,-9999
11.744049,98.7874,-9999
11.832196,98.777214,-9999
11.832313,98.77219,-9999
11.920459,98.761955,-9999
11.920615,98.75489,-9999
12.00873,98.74444,-9999
12.008703,98.73955,-9999
12.096852,98.72937,-9999
12.097226,98.72272,-9999
12.185386,98.71266,-9999
12.1853,98.70742,-9999
12.273497,98.69767,-9999
12.273653,98.69061,-9999
12.361856,98.68096,-9999
12.361809,98.675644,-9999
12.449968,98.66554,-9999
12.45034,98.65856,-9999
12.538531,98.64879,-9999
12.538473,98.643776,-9999
12.626662,98.63393,-9999
12.626817,98.62673,-9999
12.714997,98.61687,-9999
12.715075,98.61189,-9999
12.803267,98.60207,-9999
12.803389,98.595,-9999
12.891576,98.5852,-9999
12.891692,98.58002,-9999
12.979887,98.57022,-9999
12.979964,98.56306,-9999
13.068154,98.553276,-9999
13.06827,98.54813,-9999
13.156449,98.5382,-9999
13.156529,98.531,-9999
13.2447405,98.52145,-9999
13.24476,98.516235,-9999
13.332922,98.50617,-9999
13.333085,98.49909,-9999
13.421283,98.48943,-9999
13.421356,98.48425,-9999
13.509264,98.47188,-9999
13.50947,98.46557,-9999
13.596802,98.4481,-9999
13.597153,98.443954,-9999
13.686013,98.441055,-9999
13.685987,98.43287,-9999
13.774437,98.4258,-9999
13.774485,98.420586,-9999
13.86248,98.409065,-9999
13.86272,98.40174,-9999
13.950445,98.38793,-9999
13.950618,98.38331,-9999
14.03929,98.37854,-9999
14.039612,98.372025,-9999
14.127356,98.35822,-9999
14.127474,98.35445,-9999
14.215692,98.34526,-9999
14.215917,98.33843,-9999
14.304011,98.3281,-9999
14.304192,98.32334,-9999
14.391441,98.30502,-9999
14.391813,98.29797,-9999
14.480485,98.29382,-9999
14.480441,98.28979,-9999
